Layers;Iteration;Recognition Failure Rate;Learning Failure Rate
[100, 100, 100];1;3.6999999999999997;0.024657168412663022
[100, 100, 100];2;3.0;0.00802770894440395
[100, 100, 100];3;3.6999999999999997;0.006055707735822854
[100, 100, 100];4;2.6;0.004697379115051883
[100, 100, 100];5;2.8000000000000003;0.003909453342709764
[100, 100, 100];6;2.3;0.002999731749163201
[100, 100, 100];7;2.1;0.0024300388770853985
[100, 100, 100];8;3.0;0.0018885470194473066
[100, 100, 100];9;2.4;0.0014985453060902337
[100, 100, 100];10;2.5;0.0010889563070971147
[100, 100, 100];11;2.3;9.616056785338245E-4
[100, 100, 100];12;1.7999999999999998;7.458542851632293E-4
[100, 100, 100];13;1.3;6.190827099396003E-4
[100, 100, 100];14;2.0;5.92856181918364E-4
[100, 100, 100];15;2.1999999999999997;5.827717279700129E-4
[100, 100, 100];16;2.4;5.538379434279461E-4
[100, 100, 100];17;3.2;5.365677823985257E-4
[100, 100, 100];18;2.4;5.336403914145107E-4
[100, 100, 100];19;2.0;5.288106904104111E-4
[100, 100, 100];20;2.1;5.258101134160299E-4
[100, 100, 100];21;2.1;5.122788427995509E-4
[100, 100, 100];22;2.7;5.102231501108957E-4
[100, 100, 100];23;2.0;5.039010015644562E-4
[100, 100, 100];24;2.0;4.972728133436497E-4
[100, 100, 100];25;2.4;4.933304924528037E-4
